#Proactive Hunt C2 Threat Intelligence Feeds Generated on Threatview[.]io on 16-June-2021. Machine Readable feed available at https://threatview[.]io/Downloads/High-Confidence-CobaltstrikeC2_IP_feed.txt
IP,Date of Detection,Host,Protocol,Beacon Config,Comment
139.60.161.99,24 May 2021 09:00 AM UTC,ec2-54-254-58-201.ap-southeast-1.compute.amazonaws.com,https,"139.60.161.99,/match",Generated by Threatview[.]io Proactive Hunter
54.254.58.201,24 May 2021 09:00 AM UTC,no-rdns.mivocloud.com,https,"asismdnu.asisdns.space,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books",Generated by Threatview[.]io Proactive Hunter
5.181.156.46,24 May 2021 09:00 AM UTC,ip-113-14.4vendeta.com,https,"5.181.156.46,/dot.gif",Generated by Threatview[.]io Proactive Hunter
78.128.113.14,24 May 2021 09:00 AM UTC,nordns.vps.hosteons.com,https,"78.128.113.14,/updates.rss",Generated by Threatview[.]io Proactive Hunter
103.114.162.7,24 May 2021 09:00 AM UTC,,https,"cdns.blogsite.org,/safebrowsing/rd/BuoEgxIrRWzkfxGhDOSXAYX1eRUintoLP-ZHhWH6U9MzM",Generated by Threatview[.]io Proactive Hunter
35.241.143.134,24 May 2021 09:00 AM UTC,134.143.241.35.bc.googleusercontent.com,https,"control.commanderinthe.cloud,/search/",Generated by Threatview[.]io Proactive Hunter
34.94.53.4,24 May 2021 09:00 AM UTC,4.53.94.34.bc.googleusercontent.com,https,"update.software-update.tk,/upload/google-3",Generated by Threatview[.]io Proactive Hunter
185.106.123.110,24 May 2021 09:00 AM UTC,,https,"wellser.org,/userid=",Generated by Threatview[.]io Proactive Hunter
212.114.52.253,24 May 2021 09:00 AM UTC,,https,"static.azureimgages.com,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books",Generated by Threatview[.]io Proactive Hunter
134.209.92.85,24 May 2021 09:00 AM UTC,,https,"134.209.92.85,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books",Generated by Threatview[.]io Proactive Hunter
103.114.162.182,24 May 2021 09:00 AM UTC,nordns.vps.hosteons.com,https,"cdns.blogsite.org,/safebrowsing/rd/BuoEgxIrRWzkfxGhDOSXAYX1eRUintoLP-ZHhWH6U9MzM",Generated by Threatview[.]io Proactive Hunter
8.210.96.149,24 May 2021 09:00 AM UTC,,https,"best73.com,/SocContent/webfont.css,www.shopex.cn,/SocContent/webfont.css",Generated by Threatview[.]io Proactive Hunter
101.132.251.212,24 May 2021 09:00 AM UTC,,https,"101.132.251.212,/en_US/all.js",Generated by Threatview[.]io Proactive Hunter
124.156.148.167,24 May 2021 09:00 AM UTC,,https,"124.156.148.167,/fwlink",Generated by Threatview[.]io Proactive Hunter
18.180.45.136,24 May 2021 09:00 AM UTC,ec2-18-180-45-136.ap-northeast-1.compute.amazonaws.com,https,"18.180.45.136,/dot.gif",Generated by Threatview[.]io Proactive Hunter
109.201.142.110,24 May 2021 09:00 AM UTC,pool.laughingmoonmusic.com,https,"forteupdate.com,/match",Generated by Threatview[.]io Proactive Hunter
185.162.235.61,24 May 2021 09:00 AM UTC,nl.dnsme.in,https,"185.162.235.61,/push",Generated by Threatview[.]io Proactive Hunter
45.137.10.148,24 May 2021 09:00 AM UTC,,https,"45.137.10.148,/dpixel",Generated by Threatview[.]io Proactive Hunter
